row,id,prompt,topic,label_json
25,Q14_Dep_1,Q14_Community Strengths,Depression,"[{'Axial_Category': ""A Person's Environment""}]"
26,Q14_Dep_2,Q14_Community Strengths,Depression,[{'Axial_Category': 'Community Connection Can Reduce Mental Illness'}]
27,Q14_Obe_0,Q14_Community Strengths,Obesity,[]
28,Q14_Obe_1,Q14_Community Strengths,Obesity,[{'Axial_Category': 'Access to Community Centers'}]
29,Q14_Obe_2,Q14_Community Strengths,Obesity,[{'Axial_Category': 'Recreational Spaces'}]
30,Q15_Dep_0,Q15_Resources,Depression,"[{'Axial_Category': 'Lack of resources'}, {'Axial_Category': 'Minimal impact'}]"
31,Q15_Dep_1,Q15_Resources,Depression,"[{'Axial_Category': 'Wanting and having issues accessing help'}, {'Axial_Category': 'Wanting and having issues accessing health insurance'}]"
16,Q12_Obe_1,Q12_Risk Factors,Obesity,[]
17,Q12_Obe_2,Q12_Risk Factors,Obesity,[]
18,Q13_Dep_0,Q13_Root Cause,Depression,[]
19,Q13_Dep_1,Q13_Root Cause,Depression,"[{'Axial_Category': 'Mental Health Treatment'}, {'Axial_Category': 'Drug Abuse Treatment'}, {'Axial_Category': 'Mental Illness Diagnosis'}]"
20,Q13_Dep_2,Q13_Root Cause,Depression,[]
21,Q13_Obe_0,Q13_Root Cause,Obesity,"[{'Axial_Category': ""People's desire for personal independence""}]"
22,Q13_Obe_1,Q13_Root Cause,Obesity,[]
23,Q13_Obe_2,Q13_Root Cause,Obesity,[{'Axial_Category': 'Lack of nutritional education'}]
24,Q14_Dep_0,Q14_Community Strengths,Depression,[]
25,Q14_Dep_1,Q14_Community Strengths,Depression,[]
26,Q14_Dep_2,Q14_Community Strengths,Depression,[{'Axial_Category': 'Identifying a community that can help'}]
27,Q14_Obe_0,Q14_Community Strengths,Obesity,"[{'Axial_Category': 'The Governor has been a long-term resource in keeping people healthy'}, {'Axial_Category': 'The Governor has not been a long-term resource in keeping people healthy'}, {'Axial_Category': 'Residents feel secure with the Governor on the Board, but are still skeptical around it'}, {'Axial_Category': 'Residents feel insecure with the Governor on the Board'}, {'Axial_Category': 'Residents feel secure with the Governor, and are grateful for it'}]"
28,Q14_Obe_1,Q14_Community Strengths,Obesity,[]
29,Q14_Obe_2,Q14_Community Strengths,Obesity,"[{'Axial_Category': 'Outdoor activities and parks are important to residents, but parks are underutilized'}]"
30,Q15_Dep_0,Q15_Resources,Depression,[{'Axial_Category': 'No Resources Mentioned'}]
31,Q15_Dep_1,Q15_Resources,Depression,"[{'Axial_Category': 'Social Issues'}, {'Axial_Category': 'Human Resources'}]"
16,Q12_Obe_1,Q12_Risk Factors,Obesity,[]
17,Q12_Obe_2,Q12_Risk Factors,Obesity,[{'Axial_Category': 'Social/Community Factors'}]
18,Q13_Dep_0,Q13_Root Cause,Depression,[]
19,Q13_Dep_1,Q13_Root Cause,Depression,[]
20,Q13_Dep_2,Q13_Root Cause,Depression,[]
21,Q13_Obe_0,Q13_Root Cause,Obesity,[{'Axial_Category': 'Lack of fitness in general.'}]
22,Q13_Obe_1,Q13_Root Cause,Obesity,[]
23,Q13_Obe_2,Q13_Root Cause,Obesity,[]
24,Q14_Dep_0,Q14_Community Strengths,Depression,"[{'Axial_Category': 'Finding Strengths and Opportunities'}, {'Axial_Category': 'Not yet ready for service'}, {'Axial_Category': 'A lack of work'}]"
25,Q14_Dep_1,Q14_Community Strengths,Depression,[]
26,Q14_Dep_2,Q14_Community Strengths,Depression,[]
27,Q14_Obe_0,Q14_Community Strengths,Obesity,[{'Axial_Category': 'Rec Centers and Gyms'}]
28,Q14_Obe_1,Q14_Community Strengths,Obesity,[]
29,Q14_Obe_2,Q14_Community Strengths,Obesity,[{'Axial_Category': 'Recreation and Parks'}]
30,Q15_Dep_0,Q15_Resources,Depression,[{'Axial_Category': 'Inaccurate or incomplete information'}]
31,Q15_Dep_1,Q15_Resources,Depression,[{'Axial_Category': 'Lack of Access to Care'}]
16,Q12_Obe_1,Q12_Risk Factors,Obesity,[]
17,Q12_Obe_2,Q12_Risk Factors,Obesity,"[{'Axial_Category': 'Increase the cost of Fast Food by improving local farming, food distribution, and nutrition education'}]"
18,Q13_Dep_0,Q13_Root Cause,Depression,[]
19,Q13_Dep_1,Q13_Root Cause,Depression,[]
20,Q13_Dep_2,Q13_Root Cause,Depression,"[{'Axial_Category': 'Surrounding People'}, {'Axial_Category': 'Learned Behaviors'}, {'Axial_Category': 'Culture'}, {'Axial_Category': 'Social Impact'}, {'Axial_Category': 'Affluence'}, {'Axial_Category': 'Family'}, {'Axial_Category': 'Family'}, {'Axial_Category': 'Family'}]"
21,Q13_Obe_0,Q13_Root Cause,Obesity,[{'Axial_Category': 'Mind Reading and Expectations for a Miracle Worker'}]
22,Q13_Obe_1,Q13_Root Cause,Obesity,[{'Axial_Category': 'Lack of Finances'}]
23,Q13_Obe_2,Q13_Root Cause,Obesity,"[{'Axial_Category': 'No Flu Vaccine Plan'}, {'Axial_Category': 'Food Documentary'}, {'Axial_Category': 'Health Class'}, {'Axial_Category': 'Took Health Course, Experienced Fitness Teachers'}]"
24,Q14_Dep_0,Q14_Community Strengths,Depression,"[{'Axial_Category': 'Service Utilization'}, {'Axial_Category': 'Transportation and Flexibility'}]"
25,Q14_Dep_1,Q14_Community Strengths,Depression,[{'Axial_Category': 'Beliefs about religion or resources available'}]
26,Q14_Dep_2,Q14_Community Strengths,Depression,[{'Axial_Category': 'Community Strength'}]
27,Q14_Obe_0,Q14_Community Strengths,Obesity,[]
28,Q14_Obe_1,Q14_Community Strengths,Obesity,[{'Axial_Category': 'Lack of community resources'}]
29,Q14_Obe_2,Q14_Community Strengths,Obesity,[{'Axial_Category': 'Trails in Town'}]
30,Q15_Dep_0,Q15_Resources,Depression,[{'Axial_Category': 'Not providing additional resources besides flu hotline'}]
31,Q15_Dep_1,Q15_Resources,Depression,"[{'Axial_Category': 'Unmet needs for Utahns'}, {'Axial_Category': 'Belief for readiness'}]"
16,Q12_Obe_1,Q12_Risk Factors,Obesity,"[{'Axial_Category': ''}, {'Axial_Category': 'Limited Use'}]"
17,Q12_Obe_2,Q12_Risk Factors,Obesity,"[{'Axial_Category': 'Inability to afford fresh food due to poverty'}, {'Axial_Category': 'See below'}]"
18,Q13_Dep_0,Q13_Root Cause,Depression,"[{'Axial_Category': 'LDS Millennials Struggle with Perfectionism'}, {'Axial_Category': 'Believing they are ready to be set loose on accounts'}, {'Axial_Category': 'Seeking external validation'}]"
19,Q13_Dep_1,Q13_Root Cause,Depression,"[{'Axial_Category': 'Blaming Depression solely on biological factors'}, {'Axial_Category': 'Seeking personal connections'}, {'Axial_Category': 'Overcoming overconfidence'}]"
20,Q13_Dep_2,Q13_Root Cause,Depression,[]
21,Q13_Obe_0,Q13_Root Cause,Obesity,"[{'Axial_Category': 'Lack of Physical Activity'}, {'Axial_Category': 'Not Getting Enough Exercise'}, {'Axial_Category': 'Societal and Environmental Factors'}, {'Axial_Category': 'Lack of Physical Education'}, {'Axial_Category': 'Education, Training and Motivation'}, {'Axial_Category': 'Unfairness'}, {'Axial_Category': 'Not Being Heard'}, {'Axial_Category': 'Public Transportation'}]"
22,Q13_Obe_1,Q13_Root Cause,Obesity,[{'Axial_Category': 'Parental Influence'}]
23,Q13_Obe_2,Q13_Root Cause,Obesity,[]
24,Q14_Dep_0,Q14_Community Strengths,Depression,[{'Axial_Category': 'Not Receiving Help'}]
25,Q14_Dep_1,Q14_Community Strengths,Depression,"[{'Axial_Category': 'Accessing Resources and Services'}, {'Axial_Category': 'Believing they are ready to be set loose on accounts'}]"
26,Q14_Dep_2,Q14_Community Strengths,Depression,[]
27,Q14_Obe_0,Q14_Community Strengths,Obesity,"[{'Axial_Category': 'Lacking physical fitness facilities'}, {'Axial_Category': 'Lacking support for healthy choices'}, {'Axial_Category': 'Not currently utilising local resources'}, {'Axial_Category': 'Needing a larger recreation center'}, {'Axial_Category': 'Needing stronger healthcare capabilities'}, {'Axial_Category': 'Needing more school based wellness programs'}, {'Axial_Category': 'Needing access to physical fitness facilities'}, {'Axial_Category': 'Not needing recreation centers because of access to VASA gyms'}, {'Axial_Category': 'Not needing to rely solely on the Rec Centers because of gym access to VASA'}]"
28,Q14_Obe_1,Q14_Community Strengths,Obesity,[{'Axial_Category': 'Believing they would have it better if lived in an ideal city that has all the programs they want'}]
29,Q14_Obe_2,Q14_Community Strengths,Obesity,[{'Axial_Category': 'Trails and Recreation'}]
30,Q15_Dep_0,Q15_Resources,Depression,[{'Axial_Category': 'No Specific Resources Mentioned'}]
31,Q15_Dep_1,Q15_Resources,Depression,"[{'Axial_Category': 'Utah'}, {'Axial_Category': 'Personal Skills'}, {'Axial_Category': 'Young People'}]"
32,Q15_Dep_2,Q15_Resources,Depression,[]
33,Q15_Obe_0,Q15_Resources,Obesity,[{'Axial_Category': 'Resources are the least used'}]
34,Q15_Obe_1,Q15_Resources,Obesity,[{'Axial_Category': 'Not knowing where to get accurate information'}]
35,Q15_Obe_2,Q15_Resources,Obesity,[{'Axial_Category': 'Not seeing a direct impact on obesity from current City-led policies and wanting tangible results'}]
36,Q16_Dep_0,Q16_Solutions,Depression,[{'Axial_Category': 'Code that encompasses the above.'}]
37,Q16_Dep_1,Q16_Solutions,Depression,[]
38,Q16_Dep_2,Q16_Solutions,Depression,[]
39,Q16_Obe_0,Q16_Solutions,Obesity,[{'Axial_Category': 'Healthy Living Changes'}]
40,Q16_Obe_1,Q16_Solutions,Obesity,[]
41,Q16_Obe_2,Q16_Solutions,Obesity,[]
42,Q17_Dep_0,Q17_Other Thoughts,Depression,"[{'Axial_Category': 'N/A'}, {'Axial_Category': 'N/A'}]"
43,Q17_Dep_1,Q17_Other Thoughts,Depression,"[{'Axial_Category': 'Students view Lehi differently than other cities?'}, {'Axial_Category': 'Students have different attitudes about their professional lives than teachers who have been in the workforce longer?'}]"
44,Q17_Dep_2,Q17_Other Thoughts,Depression,[]
45,Q17_Obe_0,Q17_Other Thoughts,Obesity,[{'Axial_Category': 'Love People for how much health contributes to positive mental health'}]
46,Q17_Obe_1,Q17_Other Thoughts,Obesity,[]
47,Q17_Obe_2,Q17_Other Thoughts,Obesity,[{'Axial_Category': ''}]
32,Q15_Dep_2,Q15_Resources,Depression,[{'Axial_Category': 'Attempting To Reach Out And Utilize Resources'}]
33,Q15_Obe_0,Q15_Resources,Obesity,"[{'Axial_Category': 'Awareness of Local Health Resources'}, {'Axial_Category': 'Aesthetics of Space'}]"
34,Q15_Obe_1,Q15_Resources,Obesity,[{'Axial_Category': 'None of the above'}]
35,Q15_Obe_2,Q15_Resources,Obesity,[{'Axial_Category': 'Having/Wanting/Expecting Physical Fitness and Recreation/Exercise Options Available'}]
36,Q16_Dep_0,Q16_Solutions,Depression,[]
37,Q16_Dep_1,Q16_Solutions,Depression,[{'Axial_Category': 'All solutions can be improved'}]
38,Q16_Dep_2,Q16_Solutions,Depression,[{'Axial_Category': ''}]
39,Q16_Obe_0,Q16_Solutions,Obesity,"[{'Axial_Category': 'Infrastructural Changes'}, {'Axial_Category': 'Community Interventions'}]"
40,Q16_Obe_1,Q16_Solutions,Obesity,[{'Axial_Category': 'Build Programs'}]
41,Q16_Obe_2,Q16_Solutions,Obesity,[]
42,Q17_Dep_0,Q17_Other Thoughts,Depression,[{'Axial_Category': 'Hawaii has a higher cost of living than Utah'}]
43,Q17_Dep_1,Q17_Other Thoughts,Depression,[{'Axial_Category': 'Mental Health'}]
44,Q17_Dep_2,Q17_Other Thoughts,Depression,[{'Axial_Category': 'Blank'}]
45,Q17_Obe_0,Q17_Other Thoughts,Obesity,[{'Axial_Category': 'Promoting health'}]
46,Q17_Obe_1,Q17_Other Thoughts,Obesity,[]
47,Q17_Obe_2,Q17_Other Thoughts,Obesity,[{'Axial_Category': 'User is not engaged in the conversation'}]
32,Q15_Dep_2,Q15_Resources,Depression,[]
33,Q15_Obe_0,Q15_Resources,Obesity,[]
34,Q15_Obe_1,Q15_Resources,Obesity,"[{'Axial_Category': 'No Clear Knowledge'}, {'Axial_Category': 'Seeking external validation'}]"
35,Q15_Obe_2,Q15_Resources,Obesity,[]
36,Q16_Dep_0,Q16_Solutions,Depression,[]
37,Q16_Dep_1,Q16_Solutions,Depression,[{'Axial_Category': 'Acknowledging a general need for solutions'}]
38,Q16_Dep_2,Q16_Solutions,Depression,[{'Axial_Category': 'Improvements Seen in Lehi'}]
39,Q16_Obe_0,Q16_Solutions,Obesity,[]
40,Q16_Obe_1,Q16_Solutions,Obesity,[{'Axial_Category': 'Code Label'}]
41,Q16_Obe_2,Q16_Solutions,Obesity,[{'Axial_Category': 'Encourage Healthy Eating'}]
42,Q17_Dep_0,Q17_Other Thoughts,Depression,[]
43,Q17_Dep_1,Q17_Other Thoughts,Depression,[{'Axial_Category': 'A general positive outlook'}]
44,Q17_Dep_2,Q17_Other Thoughts,Depression,[]
45,Q17_Obe_0,Q17_Other Thoughts,Obesity,"[{'Axial_Category': 'Health and Fitness'}, {'Axial_Category': 'Positive Effects on Health'}, {'Axial_Category': 'Poor Health in Community'}, {'Axial_Category': 'Other Health Issues in Community'}, {'Axial_Category': 'Government and Health'}, {'Axial_Category': 'Health and Personal Happiness'}, {'Axial_Category': 'Health and Others Health'}, {'Axial_Category': 'Public and Health'}, {'Axial_Category': 'Government and Health'}, {'Axial_Category': 'Fitness and Health'}]"
46,Q17_Obe_1,Q17_Other Thoughts,Obesity,[]
47,Q17_Obe_2,Q17_Other Thoughts,Obesity,"[{'Axial_Category': ''}, {'Axial_Category': 'Cost-based analysis'}]"
32,Q15_Dep_2,Q15_Resources,Depression,[]
33,Q15_Obe_0,Q15_Resources,Obesity,[]
34,Q15_Obe_1,Q15_Resources,Obesity,[{'Axial_Category': ''}]
35,Q15_Obe_2,Q15_Resources,Obesity,[{'Axial_Category': '[BLANK]'}]
36,Q16_Dep_0,Q16_Solutions,Depression,[{'Axial_Category': 'Personal Vulnerability'}]
37,Q16_Dep_1,Q16_Solutions,Depression,[]
38,Q16_Dep_2,Q16_Solutions,Depression,[]
39,Q16_Obe_0,Q16_Solutions,Obesity,[]
40,Q16_Obe_1,Q16_Solutions,Obesity,[]
41,Q16_Obe_2,Q16_Solutions,Obesity,[]
42,Q17_Dep_0,Q17_Other Thoughts,Depression,[]
43,Q17_Dep_1,Q17_Other Thoughts,Depression,[]
44,Q17_Dep_2,Q17_Other Thoughts,Depression,[]
45,Q17_Obe_0,Q17_Other Thoughts,Obesity,[{'Axial_Category': 'Support from Community and Business Support'}]
46,Q17_Obe_1,Q17_Other Thoughts,Obesity,[]
47,Q17_Obe_2,Q17_Other Thoughts,Obesity,"[{'Axial_Category': 'Uncategorized'}, {'Axial_Category': 'Not knowing what to do and feeling unprepared'}]"
32,Q15_Dep_2,Q15_Resources,Depression,[{'Axial_Category': 'Working to find themselves'}]
33,Q15_Obe_0,Q15_Resources,Obesity,[{'Axial_Category': 'Community'}]
34,Q15_Obe_1,Q15_Resources,Obesity,[{'Axial_Category': 'Ido not know'}]
35,Q15_Obe_2,Q15_Resources,Obesity,"[{'Axial_Category': 'N/A', 'Code_Level_Three': 'Impact', 'Code_Level_Two': 'Obesity', 'Code_Level_One': 'School'}, {'Axial_Category': 'New Highschool to provide gym, gym afterhours', 'Code_Level_Three': 'Facilities', 'Code_Level_Two': 'Park in Middle Payson', 'Code_Level_One': 'Park in Middle Payson'}]"
36,Q16_Dep_0,Q16_Solutions,Depression,[{'Axial_Category': 'Mental Health Services Available Today'}]
37,Q16_Dep_1,Q16_Solutions,Depression,[{'Axial_Category': 'Acknowledging that work is still needed in the area.'}]
38,Q16_Dep_2,Q16_Solutions,Depression,"[{'Axial_Category': 'Lack of experience'}, {'Axial_Category': 'Feel as though Utah is a new territory'}]"
39,Q16_Obe_0,Q16_Solutions,Obesity,[{'Axial_Category': ''}]
40,Q16_Obe_1,Q16_Solutions,Obesity,"[{'Axial_Category': 'Parents must take responsibility and Get Out & Do'}, {'Axial_Category': 'Parents Get More Involved'}]"
41,Q16_Obe_2,Q16_Solutions,Obesity,[{'Axial_Category': 'Increasing healthy food access and education'}]
42,Q17_Dep_0,Q17_Other Thoughts,Depression,[]
43,Q17_Dep_1,Q17_Other Thoughts,Depression,[]
44,Q17_Dep_2,Q17_Other Thoughts,Depression,[]
45,Q17_Obe_0,Q17_Other Thoughts,Obesity,"[{'Axial_Category': 'Concerned about health and personal health'}, {'Axial_Category': 'Believing they are ready to be set loose on accounts'}]"
46,Q17_Obe_1,Q17_Other Thoughts,Obesity,[{'Axial_Category': 'Community as Solution'}]
47,Q17_Obe_2,Q17_Other Thoughts,Obesity,[{'Axial_Category': 'General: Unknown'}]
32,Q15_Dep_2,Q15_Resources,Depression,[{'Axial_Category': 'Seeking mental health services'}]
33,Q15_Obe_0,Q15_Resources,Obesity,[]
34,Q15_Obe_1,Q15_Resources,Obesity,[]
35,Q15_Obe_2,Q15_Resources,Obesity,"[{'Axial_Category': 'Small Town Characteristics'}, {'Axial_Category': 'Axial Category 1'}, {'Axial_Category': 'Axial Category 2'}]"
36,Q16_Dep_0,Q16_Solutions,Depression,[]
37,Q16_Dep_1,Q16_Solutions,Depression,[{'Axial_Category': 'Need a better solution'}]
38,Q16_Dep_2,Q16_Solutions,Depression,[{'Axial_Category': 'Success in the Utah Valley'}]
39,Q16_Obe_0,Q16_Solutions,Obesity,"[{'Axial_Category': 'Improvements'}, {'Axial_Category': 'Improvements'}]"
40,Q16_Obe_1,Q16_Solutions,Obesity,[]
41,Q16_Obe_2,Q16_Solutions,Obesity,[{'Axial_Category': 'Community Intervention'}]
42,Q17_Dep_0,Q17_Other Thoughts,Depression,[{'Axial_Category': 'Lack of Exposure to Problem in Utah/Hawaii'}]
43,Q17_Dep_1,Q17_Other Thoughts,Depression,[]
44,Q17_Dep_2,Q17_Other Thoughts,Depression,[]
45,Q17_Obe_0,Q17_Other Thoughts,Obesity,"[{'Axial_Category': 'People Living in Payson, Utah, are Healthy, Happy and Want an Active and Lively Community'}]"
46,Q17_Obe_1,Q17_Other Thoughts,Obesity,[{'Axial_Category': '$The Axial Category to which a code belongs$'}]
47,Q17_Obe_2,Q17_Other Thoughts,Obesity,[{'Axial_Category': ''}]
32,Q15_Dep_2,Q15_Resources,Depression,[]
33,Q15_Obe_0,Q15_Resources,Obesity,[{'Axial_Category': 'Desire to be involved in something meaningful and purposeful for community by getting active with organizations and civic groups'}]
34,Q15_Obe_1,Q15_Resources,Obesity,[{'Axial_Category': 'Lacking Information'}]
35,Q15_Obe_2,Q15_Resources,Obesity,[{'Axial_Category': 'No real plans for physical activity or health education in Schools or Cities'}]
36,Q16_Dep_0,Q16_Solutions,Depression,[{'Axial_Category': 'Increasing Mental Health Education in Family Units'}]
37,Q16_Dep_1,Q16_Solutions,Depression,[]
38,Q16_Dep_2,Q16_Solutions,Depression,[]
39,Q16_Obe_0,Q16_Solutions,Obesity,[]
40,Q16_Obe_1,Q16_Solutions,Obesity,[{'Axial_Category': 'The Age of the Parents'}]
41,Q16_Obe_2,Q16_Solutions,Obesity,[{'Axial_Category': 'Lack of Education'}]
42,Q17_Dep_0,Q17_Other Thoughts,Depression,[{'Axial_Category': ''}]
43,Q17_Dep_1,Q17_Other Thoughts,Depression,[{'Axial_Category': 'Lehi Residents are Happy Overall'}]
44,Q17_Dep_2,Q17_Other Thoughts,Depression,[{'Axial_Category': 'Acknowledging the importance of social media in reaching the target audience?'}]
45,Q17_Obe_0,Q17_Other Thoughts,Obesity,"[{'Axial_Category': 'Love for Payson, Utah'}]"
46,Q17_Obe_1,Q17_Other Thoughts,Obesity,[]
47,Q17_Obe_2,Q17_Other Thoughts,Obesity,"[{'Axial_Category': '<No Axial Category Given For Codes>'}, {'Axial_Category': 'Believing they are ready to be set loose on accounts'}]"
32,Q15_Dep_2,Q15_Resources,Depression,[]
33,Q15_Obe_0,Q15_Resources,Obesity,[{'Axial_Category': 'Limited Knowledge of Existing Resources'}]
34,Q15_Obe_1,Q15_Resources,Obesity,[{'Axial_Category': 'Lack Public Options'}]
35,Q15_Obe_2,Q15_Resources,Obesity,[]
36,Q16_Dep_0,Q16_Solutions,Depression,[{'Axial_Category': 'Awareness of Personal Vulnerabilities'}]
37,Q16_Dep_1,Q16_Solutions,Depression,[{'Axial_Category': 'More funding for the system'}]
38,Q16_Dep_2,Q16_Solutions,Depression,[{'Axial_Category': 'Lehi: Improvements Seen Through Lehi City'}]
39,Q16_Obe_0,Q16_Solutions,Obesity,[{'Axial_Category': 'Preserving Health and Quality of Life'}]
40,Q16_Obe_1,Q16_Solutions,Obesity,[{'Axial_Category': 'Q16_Solutions'}]
41,Q16_Obe_2,Q16_Solutions,Obesity,"[{'Axial_Category': 'Access to Healthy Food'}, {'Axial_Category': 'Seeing Schools as Imprisonment'}]"
42,Q17_Dep_0,Q17_Other Thoughts,Depression,[]
43,Q17_Dep_1,Q17_Other Thoughts,Depression,[{'Axial_Category': 'Overall positive about lehi '}]
44,Q17_Dep_2,Q17_Other Thoughts,Depression,"[{'Axial_Category': 'Sharing of perspectives on the issues'}, {'Axial_Category': 'Sharing of perspectives on the issues'}]"
45,Q17_Obe_0,Q17_Other Thoughts,Obesity,[{'Axial_Category': 'Good Quality Life'}]
46,Q17_Obe_1,Q17_Other Thoughts,Obesity,[]
47,Q17_Obe_2,Q17_Other Thoughts,Obesity,"[{'Axial_Category': '(Blank)'}, {'Axial_Category': '(Blank)'}]"
