n_neighbors,n_components,min_cluster_size,min_sample_size,silhouette_score
5,10,5,5,0.729982
5,10,5,10,0.6996126
5,10,5,15,0.6282989
5,25,10,10,0.68661165
5,10,10,10,0.6783325
5,25,10,5,0.67436826
5,50,10,10,0.67317164
5,50,10,5,0.6666539
5,10,10,5,0.6572107
5,25,5,5,0.728117
5,25,5,10,0.70092034
5,25,5,15,0.67024314
5,100,10,5,0.65070903
5,100,10,10,0.6489664
10,100,10,10,0.6466143
5,25,10,15,0.6461082
10,50,10,10,0.64405215
10,10,10,10,0.6427065
5,50,5,5,0.73015636
5,50,5,10,0.677489
5,50,5,15,0.64541006
5,50,10,15,0.6403848
15,25,10,10,0.63473797
5,25,15,15,0.631066
5,25,15,10,0.6287291
10,25,10,5,0.62799037
5,50,15,15,0.62596494
5,100,5,5,0.7315682
5,100,5,10,0.67764276
5,100,5,15,0.63883364
15,100,10,10,0.6248639
10,10,10,15,0.6245661
15,50,10,10,0.6233544
10,100,10,5,0.6226289
15,25,10,15,0.621872
25,10,10,10,0.6211883
10,10,5,5,0.6923547
10,10,5,10,0.6514087
10,10,5,15,0.631502
5,50,15,10,0.6201791
15,100,10,15,0.620034
10,10,10,5,0.6196668
15,10,10,10,0.6191956
10,25,10,10,0.6171318
10,50,10,5,0.6162217
10,25,5,5,0.6747521
10,25,5,10,0.66574204
10,25,5,15,0.59382737
15,100,10,5,0.61526376
5,100,10,15,0.61476237
5,10,15,15,0.61351
5,25,15,5,0.6131297
5,100,15,5,0.6110226
10,100,10,15,0.61045265
10,50,5,5,0.6776196
10,50,5,10,0.66019744
10,50,5,15,0.64353687
5,50,15,5,0.60829127
25,25,10,10,0.60790145
25,100,10,10,0.60664
5,10,10,15,0.60517955
10,10,15,15,0.6047658
5,10,15,10,0.6039153
10,100,5,5,0.675033
10,100,5,10,0.6667018
10,100,5,15,0.620288
5,100,15,15,0.6022105
15,50,10,5,0.6017051
15,10,10,5,0.6014303
5,10,15,5,0.60014766
5,100,15,10,0.5992501
25,50,10,10,0.5986251
15,10,5,5,0.6538023
15,10,5,10,0.6412429
15,10,5,15,0.60023737
15,10,10,15,0.59606594
15,25,10,5,0.5949047
10,50,10,15,0.594546
15,25,15,15,0.59398973
25,50,10,15,0.59228575
10,25,10,15,0.5921572
15,25,5,5,0.63913214
15,25,5,10,0.64681846
15,25,5,15,0.6227261
15,25,15,10,0.59093016
25,10,10,5,0.59080315
10,100,15,15,0.5879476
15,100,15,15,0.58683324
10,100,15,10,0.5864134
10,10,15,10,0.58453137
15,50,5,5,0.6489692
15,50,5,10,0.63288903
15,50,5,15,0.60343564
15,50,10,15,0.5842816
25,50,10,5,0.58327115
15,25,15,5,0.582464
10,10,15,5,0.58085567
25,10,10,15,0.5807787
10,100,15,5,0.5782364
15,100,5,5,0.6516689
15,100,5,10,0.64067626
15,100,5,15,0.62857175
15,10,15,10,0.5764507
50,10,10,10,0.5756619
10,25,15,15,0.57419884
10,25,15,5,0.5731982
25,50,15,15,0.5719523
25,100,10,5,0.57117367
25,10,5,5,0.62527025
25,10,5,10,0.6425274
25,10,5,15,0.5823529
50,25,10,10,0.5708792
25,25,10,5,0.57069254
10,25,15,10,0.5693333
25,10,15,10,0.5692289
15,10,15,15,0.56905854
15,10,15,5,0.5668677
25,25,5,5,0.6205387
25,25,5,10,0.6282277
25,25,5,15,0.59959805
50,25,10,15,0.56679285
50,50,10,10,0.56652516
15,100,15,10,0.5653634
25,25,10,15,0.56125546
10,50,15,5,0.5597743
10,50,15,15,0.55904484
25,50,5,5,0.61371744
25,50,5,10,0.63015616
25,50,5,15,0.60203844
15,50,15,10,0.55829
25,100,10,15,0.55464697
25,10,15,15,0.5545132
15,50,15,15,0.553084
15,100,15,5,0.55179095
50,25,15,15,0.55139387
25,100,5,5,0.6198172
25,100,5,10,0.63530207
25,100,5,15,0.59412485
50,10,10,5,0.5499965
10,50,15,10,0.5491587
15,50,15,5,0.5486341
50,100,10,5,0.5484255
25,100,15,10,0.5469758
25,10,15,5,0.5462949
50,10,5,5,0.59129417
50,10,5,10,0.5941142
50,10,5,15,0.551356
25,25,15,15,0.5449801
25,25,15,5,0.5424826
50,25,10,5,0.54120255
25,50,15,5,0.5396788
25,100,15,5,0.53828025
50,100,10,10,0.537514
50,25,5,5,0.58166337
50,25,5,10,0.5912811
50,25,5,15,0.5872684
50,50,10,15,0.5336556
25,50,15,10,0.53187525
25,100,15,15,0.5316756
50,100,10,15,0.5313431
50,10,15,10,0.5213775
50,50,10,5,0.5211485
50,50,5,5,0.5732032
50,50,5,10,0.57326007
50,50,5,15,0.56178343
50,100,15,15,0.5198257
50,10,10,15,0.5157233
25,25,15,10,0.51299727
50,100,15,10,0.5099703
50,50,15,15,0.5079831
50,10,15,15,0.5035418
50,100,5,5,0.5714396
50,100,5,10,0.5791025
50,100,5,15,0.5445447
50,50,15,10,0.50318736
50,10,15,5,0.4985894
50,25,15,10,0.49599087
50,50,15,5,0.49528968
50,25,15,5,0.48076087
50,100,15,5,0.4731634